Experiment,LOSO,mae,rmse,pearson,ccc
1_EEG_Only,Mean,0.133022613,0.167005797,0.673319954,0.611293264
1_EEG_Only,1,0.106475942,0.140945976,0.888535857,0.882024188
1_EEG_Only,2,0.113082305,0.158934527,0.396823913,0.350323167
1_EEG_Only,3,0.075063966,0.103155274,0.780615151,0.773832242
1_EEG_Only,4,0.116450675,0.163448211,0.705354393,0.694977161
1_EEG_Only,5,0.130578682,0.168121546,0.732366502,0.717041251
1_EEG_Only,6,0.136100695,0.165419817,0.868426502,0.844322446
1_EEG_Only,7,0.129160926,0.162145932,0.860401094,0.728394361
1_EEG_Only,8,0.091417827,0.113937741,0.499063104,0.477212775
1_EEG_Only,9,0.092321038,0.111445796,0.715625644,0.608403562
1_EEG_Only,10,0.111034773,0.136695765,0.852751493,0.78952939
1_EEG_Only,11,0.075884633,0.102554252,0.612188816,0.604302583
1_EEG_Only,12,0.11391186,0.146397011,0.495204717,0.494840531
1_EEG_Only,13,0.109122917,0.139453358,0.36075455,0.343801917
1_EEG_Only,14,0.233135745,0.294949953,0.767943084,0.6111317
1_EEG_Only,15,0.175237626,0.200163369,0.846733153,0.610045642
1_EEG_Only,16,0.124233373,0.15411867,0.761703253,0.744599699
1_EEG_Only,17,0.108721353,0.141424687,0.628328562,0.581485185
1_EEG_Only,18,0.180303246,0.225186089,0.73645854,0.64956894
1_EEG_Only,19,0.139357373,0.190657914,0.302211374,0.197105841
1_EEG_Only,20,0.15526475,0.186278747,0.865105867,0.830096363
1_EEG_Only,21,0.070246428,0.090231226,0.667426229,0.616044041
1_EEG_Only,22,0.188019872,0.221516831,0.839154601,0.718975416
1_EEG_Only,23,0.284394085,0.323950645,0.303182542,0.19168667
2_EOG_Only,Mean,0.185152425,0.224004878,0.588635309,0.449480328
2_EOG_Only,1,0.162753209,0.191467256,0.821569145,0.656392477
2_EOG_Only,2,0.122537531,0.154037596,0.576510251,0.479939253
2_EOG_Only,3,0.111229219,0.139669577,0.728690267,0.649208686
2_EOG_Only,4,0.18486762,0.224455955,0.463437498,0.388390852
2_EOG_Only,5,0.184551314,0.231538287,0.62145108,0.412813615
2_EOG_Only,6,0.168199137,0.205505716,0.797491372,0.719698304
2_EOG_Only,7,0.147412881,0.180266567,0.773801923,0.659797788
2_EOG_Only,8,0.176770613,0.218739577,0.408123761,0.265941498
2_EOG_Only,9,0.071830235,0.091501425,0.697495043,0.695411276
2_EOG_Only,10,0.148443341,0.191155172,0.828623116,0.733800651
2_EOG_Only,11,0.218924895,0.243832264,0.493349284,0.208528358
2_EOG_Only,12,0.191360548,0.239790413,0.350726515,0.303180218
2_EOG_Only,13,0.121547714,0.156527547,0.225552127,0.222878719
2_EOG_Only,14,0.329819351,0.383444187,0.657319605,0.293757388
2_EOG_Only,15,0.221981615,0.264438799,0.729646981,0.494013855
2_EOG_Only,16,0.160614535,0.199330841,0.53512907,0.494350279
2_EOG_Only,17,0.117058143,0.156220362,0.611328781,0.598527856
2_EOG_Only,18,0.355348825,0.404395087,0.572693646,0.156718664
2_EOG_Only,19,0.190915555,0.259523408,0.065079033,0.055809661
2_EOG_Only,20,0.178130269,0.226536684,0.828227162,0.707693265
2_EOG_Only,21,0.105464205,0.131674951,0.389179856,0.328912637
2_EOG_Only,22,0.301991612,0.338926492,0.660937369,0.445161191
2_EOG_Only,23,0.286753416,0.319134045,0.702249229,0.367121057
3_Concat,Mean,0.136443777,0.170079046,0.677210239,0.598918627
3_Concat,1,0.10456682,0.132554301,0.898589551,0.874484595
3_Concat,2,0.117968805,0.159625051,0.357436717,0.249619595
3_Concat,3,0.072240144,0.098785127,0.801543057,0.796263683
3_Concat,4,0.124784894,0.16710514,0.634692788,0.634615091
3_Concat,5,0.161621526,0.202901268,0.702881098,0.565238117
3_Concat,6,0.115386598,0.152239012,0.888576865,0.885958459
3_Concat,7,0.138049364,0.175091077,0.818426013,0.674231085
3_Concat,8,0.119246654,0.151903911,0.392677039,0.313572803
3_Concat,9,0.066103183,0.085139241,0.711084723,0.70242545
3_Concat,10,0.11673788,0.153030291,0.810001194,0.779626321
3_Concat,11,0.145054728,0.171376981,0.662568212,0.416960238
3_Concat,12,0.121046819,0.154130568,0.523329914,0.518154381
3_Concat,13,0.106795624,0.131572014,0.339408755,0.263914244
3_Concat,14,0.211933643,0.266642012,0.827370942,0.684769518
3_Concat,15,0.157265127,0.185456043,0.830259383,0.669189311
3_Concat,16,0.12721765,0.161325646,0.738222718,0.702231509
3_Concat,17,0.101281397,0.135248955,0.651708305,0.651318379
3_Concat,18,0.233359396,0.264425754,0.639304876,0.493576512
3_Concat,19,0.155936182,0.188998996,0.397306204,0.299297141
3_Concat,20,0.165396556,0.201560183,0.830995381,0.772722425
3_Concat,21,0.07104858,0.090847498,0.658139408,0.619439567
3_Concat,22,0.180447936,0.213291814,0.862541318,0.738706929
3_Concat,23,0.224717364,0.268567186,0.598771036,0.468813068
4_Attn_Forward,Mean,0.136909332,0.169833774,0.689232136,0.619677156
4_Attn_Forward,1,0.100136846,0.132422527,0.900858581,0.880897615
4_Attn_Forward,2,0.10477557,0.143011597,0.531370044,0.434565191
4_Attn_Forward,3,0.087310173,0.115576475,0.770543635,0.746178631
4_Attn_Forward,4,0.136103615,0.180847714,0.654061198,0.643407593
4_Attn_Forward,5,0.155249968,0.195568756,0.755202234,0.601465382
