LOSO,MAE,RMSE,Pearson,CCC
1,0.09,0.12,0.912,0.9
2,0.104,0.144,0.519,0.479
3,0.08,0.115,0.8,0.777
4,0.13,0.176,0.654,0.645
5,0.126,0.164,0.757,0.756
6,0.143,0.171,0.877,0.834
7,0.139,0.169,0.82,0.703
8,0.127,0.156,0.509,0.442
9,0.07,0.089,0.703,0.678
10,0.159,0.202,0.836,0.715
11,0.085,0.108,0.655,0.651
12,0.131,0.16,0.523,0.478
13,0.129,0.158,0.234,0.202
14,0.171,0.226,0.862,0.793
15,0.091,0.115,0.859,0.85
16,0.124,0.162,0.748,0.744
17,0.107,0.143,0.625,0.619
18,0.185,0.232,0.712,0.619
19,0.149,0.188,0.42,0.346
20,0.14,0.178,0.859,0.851
21,0.081,0.107,0.643,0.638
22,0.187,0.22,0.842,0.746
23,0.213,0.26,0.627,0.518
